run_key	software_era	task	run	echo	parameter	value	era_modal_value	value_count	era_group_count	exception_type
sub-10657_ses-01_task-trust_run-1	E11	trust	1	3	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10661_ses-01_task-trust_run-1	E11	trust	1	3	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10663_ses-01_task-trust_run-1	E11	trust	1	3	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10673_ses-01_task-trust_run-1	E11	trust	1	3	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10674_ses-01_task-trust_run-1	E11	trust	1	3	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10677_ses-01_task-trust_run-1	E11	trust	1	3	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10691_ses-01_task-trust_run-1	E11	trust	1	3	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10700_ses-01_task-trust_run-1	E11	trust	1	3	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10701_ses-01_task-trust_run-1	E11	trust	1	3	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10723_ses-01_task-trust_run-1	E11	trust	1	3	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10741_ses-01_task-trust_run-1	E11	trust	1	3	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10317_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10369_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10402_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10418_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10462_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10478_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10486_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10529_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10541_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10559_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10572_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10581_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10584_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10585_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10589_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10590_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10596_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10603_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10606_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10608_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10617_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10636_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10638_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10641_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10644_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10649_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10652_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10656_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10657_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10661_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10663_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10673_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10674_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10677_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10691_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10700_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10701_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10723_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10741_ses-01_task-trust_run-1	E11	trust	1	4	FlipAngle	20	50	39	204	within_era_nonmodal
sub-10402_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10418_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10478_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10486_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10529_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10541_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10559_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10572_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10581_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10584_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10585_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10589_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10590_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10596_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10603_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10606_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10617_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10636_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10638_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10644_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10649_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10652_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10656_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10657_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10661_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10663_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10673_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10674_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10677_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10691_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10700_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10701_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10723_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10741_ses-01_task-trust_run-2	E11	trust	2	1	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10402_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10418_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10478_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10486_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10529_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10541_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10559_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10572_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10581_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10584_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10585_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10589_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10590_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10596_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10603_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10606_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10617_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10636_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10638_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10644_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10649_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10652_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10656_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10657_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10661_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10663_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10673_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10674_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10677_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10691_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10700_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10701_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10723_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10741_ses-01_task-trust_run-2	E11	trust	2	2	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10402_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10418_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10478_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10486_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10529_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10541_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10559_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10572_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10581_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10584_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10585_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10589_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10590_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10596_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10603_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10606_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10617_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10636_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10638_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10644_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10649_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10652_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10656_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10657_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10661_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10663_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10673_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10674_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10677_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10691_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10700_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10701_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10723_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10741_ses-01_task-trust_run-2	E11	trust	2	3	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10402_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10418_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10478_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10486_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10529_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10541_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10559_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10572_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10581_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10584_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10585_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10589_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10590_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10596_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10603_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10606_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10617_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10636_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10638_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10644_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10649_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10652_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10656_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10657_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10661_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10663_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10673_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10674_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10677_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10691_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10700_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10701_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10723_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10741_ses-01_task-trust_run-2	E11	trust	2	4	FlipAngle	20	50	34	177	within_era_nonmodal
sub-10317_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10369_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10402_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10418_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10462_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10478_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10486_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10529_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10541_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10559_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10572_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10581_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10584_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10585_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10589_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10590_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10596_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10603_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10606_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10608_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10617_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10636_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10638_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10641_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10644_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10649_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10652_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10656_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10657_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10661_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10663_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10673_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10674_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10677_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10691_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10700_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10701_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10723_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10741_ses-01_task-ugr_run-1	E11	ugr	1	1	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10317_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10369_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10402_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10418_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10462_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10478_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10486_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10529_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10541_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10559_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10572_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10581_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10584_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10585_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10589_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10590_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10596_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10603_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10606_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10608_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10617_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10636_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10638_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10641_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10644_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
sub-10649_ses-01_task-ugr_run-1	E11	ugr	1	2	FlipAngle	20	50	39	205	within_era_nonmodal
